States/UTs,Number of Road Accidents - Total 2006,Number of Road Accidents - Total 2007,Number of Road Accidents - Total 2008,Number of Road Accidents - Total 2009,Number of Road Accidents - Total 2010,Number of Road Accidents - Total 2011,Number of Road Accidents - Total 2012,Number of Road Accidents - Fatal 2006,Number of Road Accidents - Fatal 2007,Number of Road Accidents - Fatal 2008,Number of Road Accidents - Fatal 2009,Number of Road Accidents - Fatal 2010,Number of Road Accidents - Fatal 2011,Number of Road Accidents - Fatal 2012,Number of Persons - Killed 2006,Number of Persons - Killed 2007,Number of Persons - Killed 2008,Number of Persons - Killed 2009,Number of Persons - Killed 2010,Number of Persons - Killed 2011,Number of Persons - Killed 2012,Number of Persons - Injured 2006,Number of Persons - Injured 2007,Number of Persons - Injured 2008,Number of Persons - Injured 2009,Number of Persons - Injured 2010,Number of Persons - Injured 2011,Number of Persons - Injured 2012
Sikkim,2,2,1,0,0,0,0,1,1,1,0,0,0,0,22,16,0,0,0,0,0,25,19,25,0,0,0,0
Tamil Nadu,8114,9316,7002,6206,8890,6805,7479,2107,2226,1545,1496,2301,1882,1998,2338,2460,1740,1862,2553,2085,2196,11844,13115,9427,8805,12444,8622,10387
Tripura,62,125,74,58,57,51,49,14,29,20,17,12,14,11,15,31,23,17,12,14,15,139,203,175,99,125,67,77
Uttarakhand,193,222,186,189,199,220,179,100,121,99,89,109,103,80,188,216,249,150,168,148,130,494,465,368,535,257,399,342
Uttar Pradesh,1894,2051,2150,2324,2300,2344,2526,968,976,920,991,1045,1005,1031,1091,1118,1012,1093,1225,1154,1383,1301,1632,1714,1913,1811,1357,1803
West Bengal,1979,1934,1841,1392,1863,2010,2119,544,653,553,190,555,663,815,672,810,768,693,688,747,820,2277,2574,3082,1694,2998,2700,2706
Andaman & Nicobar Islands,33,30,20,35,36,28,18,6,1,1,7,8,3,0,7,1,1,7,10,3,0,55,89,76,47,70,32,31
Chandigarh,48,39,45,27,19,44,27,17,14,20,14,11,23,12,19,15,20,16,6,25,13,51,31,37,13,16,37,24
Dadra & Nagar Haveli,12,3,7,5,9,7,4,7,3,4,2,3,4,2,7,3,4,2,3,4,3,12,0,9,3,59,34,44
Daman & Diu,3,1,1,2,3,2,3,2,1,0,2,1,2,1,1,1,0,2,1,2,1,2,0,2,1,9,0,4
Delhi ,1168,1039,865,799,675,589,500,321,291,249,269,219,182,146,329,304,255,272,227,187,148,1027,917,738,771,NA,563,574
Lakshadweep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Puducherry,244,219,179,269,215,207,138,42,48,50,44,42,50,29,47,53,51,45,43,50,30,214,200,158,245,190,186,128
All India,47343,47464,43893,42185,47219,43034,43135,11013,11523,10465,10527,11841,11220,11174,12791,13291,12495,12918,13823,13156,13472,63143,63893,67065,59794,65121,56020,57884
