States/UTs,Number of Road Accidents - Total 2006,Number of Road Accidents - Total 2007,Number of Road Accidents - Total 2008,Number of Road Accidents - Total 2009,Number of Road Accidents - Total 2010,Number of Road Accidents - Total 2011,Number of Road Accidents - Total 2012,Number of Road Accidents - Fatal 2006,Number of Road Accidents - Fatal 2007,Number of Road Accidents - Fatal 2008,Number of Road Accidents - Fatal 2009,Number of Road Accidents - Fatal 2010,Number of Road Accidents - Fatal 2011,Number of Road Accidents - Fatal 2012,Number of Persons - Killed 2006,Number of Persons - Killed 2007,Number of Persons - Killed 2008,Number of Persons - Killed 2009,Number of Persons - Killed 2010,Number of Persons - Killed 2011,Number of Persons - Killed 2012,Number of Persons - Injured 2006,Number of Persons - Injured 2007,Number of Persons - Injured 2008,Number of Persons - Injured 2009,Number of Persons - Injured 2010,Number of Persons - Injured 2011,Number of Persons - Injured 2012
Nagaland,60,11,12,20,1,3,8,23,6,10,8,0,3,6,22,6,3,19,0,3,11,93,4,5,7,1,11,10
Odisha,1250,1387,1424,1458,1486,1601,1671,296,357,390,378,433,432,446,374,428,487,460,516,525,520,1893,2137,1934,1904,2080,2066,2172
Punjab,1185,1245,1173,1162,1507,1727,1584,576,677,571,685,875,1131,1056,591,777,629,777,750,1249,1121,1066,948,1036,850,1051,1180,1107
Rajasthan,5997,6197,6507,6882,6741,6588,6484,1975,1687,1741,1969,2072,2171,2120,2238,1928,2052,2231,2341,2403,2399,10844,8352,7838,9061,8847,8524,8652
Sikkim,103,81,95,552,186,379,130,20,16,16,52,32,45,30,33,23,26,84,71,97,48,241,161,124,425,399,299,288
Tamil Nadu,9309,16065,9132,8764,18038,13674,15375,2049,2595,1569,1565,3289,2452,2831,2288,3025,1738,1770,3651,2359,3092,10316,20747,11277,11095,23202,11786,18278
Tripura,337,192,194,189,206,220,243,72,47,37,38,50,57,53,76,57,52,41,53,60,60,652,306,552,368,355,303,405
Uttarakhand,434,463,408,399,380,369,433,179,213,189,176,180,149,186,249,260,295,234,249,244,202,678,655,619,524,461,465,547
Uttar Pradesh,4840,5370,5361,5817,6115,5947,6281,2265,2407,2288,2466,2700,2504,2523,2601,2689,2666,2882,3202,3329,3119,3654,3686,3940,4486,4630,3251,4725
West Bengal,2247,2068,2129,1790,2294,3181,1765,611,592,648,547,683,706,612,837,977,628,654,732,857,766,2526,2293,2414,1191,2311,3395,2453
Andaman & Nicobar Islands,28,40,51,82,78,58,73,1,4,4,7,3,4,5,1,4,4,9,3,4,5,36,79,44,120,92,87,93
Chandigarh,236,255,233,222,142,243,235,47,57,48,70,45,54,54,48,63,50,73,42,58,56,256,285,237,183,105,214,213
Dadra & Nagar Haveli,16,10,11,12,20,14,11,0,3,3,6,11,3,5,0,3,3,6,11,3,5,24,8,33,11,22,20,9
Daman & Diu,11,16,10,11,10,7,7,3,7,3,1,9,2,2,3,7,3,1,6,2,3,13,21,13,17,12,7,8
Delhi ,2342,2266,2261,2012,2059,2158,2024,251,259,223,252,346,319,290,253,264,238,255,369,325,299,2373,2363,2342,2243,NA,2493,2211
Lakshadweep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,210,255,245,258,343,284,206,17,32,28,16,42,27,26,18,34,28,16,53,27,26,230,225,225,270,350,312,190
All India,99233,110219,100235,100003,108949,106101,105994,17876,18989,18085,18894,22950,22155,22579,19979,21683,21264,21956,25864,25106,25712,100852,114753,101968,104754,118331,104266,111794
